,Time,Albania,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.571,1353.4289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.571,1353.4289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8569999999999998,0.7140000000000001,1353.4289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8569999999999998,0.7140000000000001,1353.4289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8569999999999998,0.429,1353.4289999999999,0.0,0.0,0.0,0.0,48.571000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8569999999999998,0.429,1.143,0.0,0.0,0.0,0.0,48.571000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.0,0.0,0.0,0.0,7.7139999999999995,89.0,0.0,0.0,1746.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.143,0.0,2.8569999999999998,0.429,1.429,0.0,0.0,0.0,5399.286,48.571000000000005,52.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,1208.0,0.0,0.0,339.57099999999997,7.7139999999999995,89.0,0.0,0.0,1746.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.143,0.0,0.14300000000000002,0.429,1.571,0.0,0.0,0.0,5399.286,48.571000000000005,52.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,1208.0,0.0,0.0,339.57099999999997,7.7139999999999995,89.0,0.0,0.0,1746.0
11,11,0.0,0.0,0.0,1117.857,0.0,0.0,0.0,51.143,0.0,0.14300000000000002,0.28600000000000003,1.143,0.0,0.0,0.0,5399.286,48.571000000000005,52.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,1208.0,0.0,0.0,339.57099999999997,7.7139999999999995,89.0,0.0,0.0,1746.0
12,12,0.0,0.0,0.0,1117.857,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.14300000000000002,1.143,0.0,0.0,0.0,5399.286,0.28600000000000003,52.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.28600000000000003,0.0,0.0,339.57099999999997,7.7139999999999995,89.0,0.0,0.0,1.286
13,13,0.0,0.0,0.0,1117.857,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.14300000000000002,1.143,0.0,0.0,0.0,5399.286,0.28600000000000003,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.28600000000000003,0.0,0.0,339.57099999999997,0.14300000000000002,0.14300000000000002,0.0,0.0,1.286
14,14,0.0,0.0,0.0,1117.857,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.14300000000000002,1.143,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.14300000000000002,0.14300000000000002,0.0,0.0,1.0
15,15,0.0,0.0,0.0,1117.857,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.7140000000000001,0.7140000000000001,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.0,0.0,0.0,0.0,1.571
16,16,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.7140000000000001,0.5710000000000001,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.14300000000000002,0.0,0.0,0.0,1.714
17,17,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.7140000000000001,0.28600000000000003,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.14300000000000002,0.0,0.0,0.0,0.857
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.7140000000000001,0.5710000000000001,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.14300000000000002,0.0,0.0,0.0,1.0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.7140000000000001,0.5710000000000001,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.14300000000000002,0.0,0.0,0.0,1.0
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.143,10.142999999999999,0.0,0.7140000000000001,0.5710000000000001,0.0,0.0,0.0,5399.286,0.14300000000000002,52.714,0.0,0.0,27.570999999999998,0.0,0.0,0.0,0.0,0.0,4259.857,0.0,0.0,0.0,0.0,339.57099999999997,0.14300000000000002,0.0,0.0,0.0,1.143
