,Country,Lag,Our Model,Population,Total Cases
0,Albania,26.253,29.826,2895947,36790.0
1,Andorra,12.034,17.764,?,6681.0
2,Austria,293.741,284.610,8527230,274275.0
3,Belgium,750.231,737.706,11225469,577409.0
4,Bulgaria,110.469,117.533,7245677,141751.0
5,Bosnia and Herzegovina,101.235,103.376,3791622,85441.0
6,Belarus,78.867,85.907,9475100,133352.0
7,Switzerland,339.963,329.756,8183800,317017.0
8,Czech Republic,533.954,515.849,10521600,518649.0
9,Germany,717.620,838.346,80783000,1042700.0
10,Denmark,77.318,79.426,5655750,78354.0
11,Spain,1222.648,1270.038,46507760,1628208.0
12,Estonia,16.762,16.918,1315819,11714.0
13,Finland,32.102,33.530,5470437,24328.0
14,France,2750.654,2783.966,66078000,2208699.0
15,Faeroe Islands,2.219,2.248,?,502.0
16,United Kingdom,1123.762,1199.198,64105654,1605172.0
17,Guernsey,1.059,0.986,63085,286.0
18,Greece,92.157,97.674,10992589,103034.0
19,Croatia,91.744,107.032,4267558,123696.0
20,Hungary,175.614,192.336,9879000,211529.0
21,Isle of Man,1.306,2.398,84497,369.0
22,Ireland,96.972,95.910,6378000,71944.0
23,Iceland,9.833,9.334,328170,5371.0
24,Italy,1228.725,1311.837,60769102,1564532.0
25,Jersey,2.355,2.248,99000,928.0
26,Liechtenstein,2.519,2.401,37132,1279.0
27,Lithuania,63.503,71.242,2927310,60193.0
28,Luxembourg,58.059,55.572,549700,33425.0
29,Latvia,18.404,19.789,1991800,16565.0
30,Monaco,1.426,3.749,36950,607.0
31,Moldova,70.454,69.345,3557600,105854.0
32,Macedonia,60.093,62.525,?,60737.0
33,Malta,16.827,17.061,416055,12261.0
34,Montenegro,44.065,43.371,?,34454.0
35,Netherlands,398.540,422.875,16881000,512695.0
36,Norway,37.991,40.641,5156450,34747.0
37,Poland,849.216,875.219,38496000,973595.0
38,Portugal,318.883,326.012,10477800,326556.0
39,Romania,269.846,317.445,19942642,465983.0
40,Russia,971.269,1254.169,146233000,2269316.0
41,San Marino,5.324,4.965,32743,1593.0
42,Serbia,180.556,200.521,7186862,163038.0
43,Slovakia,107.583,107.481,5415949,104635.0
44,Slovenia,129.414,139.336,2064966,123100.0
45,Sweden,213.849,232.602,9737521,254057.0
46,Ukraine,752.926,824.729,42973696,693419.0
